invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,price_eur,total
I131217,C239560,Male,45,Food & Beverage,4,20.92,Credit_Card,1/6/2021,ISTINYE_PARK,2.09,83.68
I122347,C793504,Female,29,Books,4,60.6,Cash,21/09/2021,FORUM_ISTANBUL,6.06,242.4
I415958,C135541,Female,18,Clothing,2,600.16,Cash,18/11/2021,METROPOL_AVM,60.02,1200.32
I158538,C547058,Female,67,Technology,5,5250,Cash,15/02/2021,CEVAHIR_AVM,525.0,26250.0
I150115,C280389,Male,63,Cosmetics,3,121.98,Debit_Card,16/05/2022,KANYON,12.2,365.94
I275527,C101004,Male,18,Shoes,2,1200.34,Cash,16/08/2022,VIAPORT_OUTLET,120.03,2400.68
I976938,C171351,Female,30,Food & Beverage,4,20.92,Cash,23/10/2021,METROCITY,2.09,83.68
I800895,C843853,Female,49,Cosmetics,3,121.98,Credit_Card,20/03/2022,VIAPORT_OUTLET,12.2,365.94
I141052,C567296,Female,67,Clothing,2,600.16,Cash,5/8/2021,ISTINYE_PARK,60.02,1200.32
I236854,C119779,Female,21,Technology,2,2100,Cash,12/1/2021,METROCITY,210.0,4200.0
I253182,C534024,Male,22,Clothing,4,1200.32,Debit_Card,3/4/2022,VIAPORT_OUTLET,120.03,4801.28
I488838,C249133,Male,46,Food & Beverage,5,26.15,Cash,31/10/2021,MALL_OF_ISTANBUL,2.62,130.75
I112148,C337986,Female,26,Cosmetics,4,162.64,Credit_Card,10/4/2021,METROCITY,16.26,650.56
I212739,C330860,Male,57,Souvenir,5,58.65,Cash,19/09/2021,ISTINYE_PARK,5.87,293.25
I316386,C319500,Female,34,Clothing,5,1500.4,Credit_Card,2/4/2021,KANYON,150.04,7502.0
I229904,C425560,Male,23,Toys,1,35.84,Credit_Card,8/10/2022,ISTINYE_PARK,3.58,35.84
I247689,C137980,Female,51,Food & Beverage,2,10.46,Cash,20/01/2022,MALL_OF_ISTANBUL,1.05,20.92
I285463,C110655,Female,50,Clothing,2,600.16,Credit_Card,30/10/2022,METROPOL_AVM,60.02,1200.32
I106769,C329470,Female,68,Technology,4,4200,Cash,28/01/2022,CEVAHIR_AVM,420.0,16800.0
I162961,C310245,Female,24,Clothing,1,300.08,Credit_Card,12/10/2021,MALL_OF_ISTANBUL,30.01,300.08
I259126,C210702,Female,48,Food & Beverage,2,10.46,Debit_Card,25/07/2022,VIAPORT_OUTLET,1.05,20.92
I370228,C291430,Female,60,Clothing,2,600.16,Cash,2/7/2021,MALL_OF_ISTANBUL,60.02,1200.32
I201254,C237465,Male,51,Cosmetics,4,162.64,Debit_Card,22/06/2021,ZORLU_CENTER,16.26,650.56
I299876,C277221,Female,68,Food & Beverage,5,26.15,Credit_Card,3/4/2021,KANYON,2.62,130.75
I327841,C338814,Female,55,Toys,5,179.2,Cash,1/3/2022,KANYON,17.92,896.0
I334354,C257807,Male,48,Clothing,5,1500.4,Debit_Card,22/05/2022,MALL_OF_ISTANBUL,150.04,7502.0
I217561,C130927,Male,34,Shoes,4,2400.68,Debit_Card,28/07/2021,MALL_OF_ISTANBUL,240.07,9602.72
I223117,C295330,Female,25,Shoes,5,3000.85,Cash,8/11/2021,METROCITY,300.09,15004.25
I391123,C866909,Female,23,Cosmetics,3,121.98,Cash,12/12/2021,METROPOL_AVM,12.2,365.94
I226663,C147288,Female,33,Food & Beverage,2,10.46,Cash,10/10/2021,METROCITY,1.05,20.92
I397549,C326894,Male,37,Books,1,15.15,Debit_Card,13/07/2021,VIAPORT_OUTLET,1.52,15.15
I262822,C917458,Male,33,Clothing,3,900.24,Credit_Card,9/12/2022,ZORLU_CENTER,90.02,2700.7200000000003
I321592,C253066,Female,51,Cosmetics,5,203.3,Cash,28/02/2021,FORUM_ISTANBUL,20.33,1016.5
I258435,C321092,Male,44,Shoes,5,3000.85,Credit_Card,28/09/2022,KANYON,300.09,15004.25
I422958,C161277,Female,50,Cosmetics,1,40.66,Cash,19/09/2022,KANYON,4.07,40.66
I290098,C133163,Female,45,Shoes,1,600.17,Credit_Card,1/1/2022,METROPOL_AVM,60.02,600.17
I356010,C750477,Female,27,Food & Beverage,4,20.92,Credit_Card,22/06/2022,KANYON,2.09,83.68
I113450,C110449,Female,38,Toys,4,143.36,Cash,11/8/2022,METROPOL_AVM,14.34,573.44
I129036,C312326,Female,43,Clothing,3,900.24,Debit_Card,24/03/2021,MALL_OF_ISTANBUL,90.02,2700.7200000000003
I124838,C572488,Female,20,Clothing,5,1500.4,Credit_Card,15/09/2021,METROCITY,150.04,7502.0
I188737,C219171,Female,48,Clothing,1,300.08,Cash,1/7/2021,MALL_OF_ISTANBUL,30.01,300.08
I116082,C105496,Female,43,Clothing,4,1200.32,Credit_Card,11/11/2021,ISTINYE_PARK,120.03,4801.28
I126848,C179487,Female,20,Clothing,1,300.08,Cash,20/01/2021,ZORLU_CENTER,30.01,300.08
I148951,C941085,Male,39,Books,1,15.15,Debit_Card,22/09/2021,VIAPORT_OUTLET,1.52,15.15
I149090,C145793,Female,68,Cosmetics,1,40.66,Cash,2/4/2021,METROCITY,4.07,40.66
I321610,C978453,Female,19,Shoes,3,1800.51,Credit_Card,8/2/2023,EMAAR_SQUARE_MALL,180.05,5401.53
I295041,C300781,Male,34,Clothing,4,1200.32,Cash,12/2/2022,METROCITY,120.03,4801.28
I629748,C912476,Female,51,Technology,4,4200,Debit_Card,29/06/2022,KANYON,420.0,16800.0
I314756,C150345,Female,46,Clothing,5,1500.4,Debit_Card,15/01/2023,KANYON,150.04,7502.0
I121954,C841368,Male,23,Clothing,2,600.16,Credit_Card,1/6/2022,MALL_OF_ISTANBUL,60.02,1200.32
I875542,C120924,Female,32,Clothing,3,900.24,Debit_Card,7/8/2022,ISTINYE_PARK,90.02,2700.7200000000003
I123943,C256805,Female,66,Clothing,1,300.08,Debit_Card,5/7/2022,METROCITY,30.01,300.08
I208110,C234480,Male,65,Cosmetics,1,40.66,Cash,1/2/2023,KANYON,4.07,40.66
I333278,C614509,Male,25,Cosmetics,2,81.32,Debit_Card,2/2/2021,VIAPORT_OUTLET,8.13,162.64
I328766,C134671,Female,29,Books,2,30.3,Debit_Card,26/11/2022,MALL_OF_ISTANBUL,3.03,60.6
I258115,C268818,Female,32,Technology,2,2100,Cash,8/6/2022,METROCITY,210.0,4200.0
I242284,C108029,Female,67,Clothing,5,1500.4,Credit_Card,12/6/2021,METROCITY,150.04,7502.0
I184367,C316470,Female,51,Shoes,2,1200.34,Cash,28/02/2022,KANYON,120.03,2400.68
I214796,C115944,Female,62,Cosmetics,3,121.98,Credit_Card,17/12/2022,VIAPORT_OUTLET,12.2,365.94
I196579,C334553,Female,58,Clothing,3,900.24,Credit_Card,26/11/2022,MALL_OF_ISTANBUL,90.02,2700.7200000000003
I138500,C255602,Female,67,Books,3,45.45,Credit_Card,4/10/2021,MALL_OF_ISTANBUL,4.55,136.35000000000002
I335604,C237309,Male,37,Food & Beverage,1,5.23,Credit_Card,13/11/2021,METROPOL_AVM,0.52,5.23
I140920,C187589,Female,41,Food & Beverage,1,5.23,Cash,8/10/2022,ZORLU_CENTER,0.52,5.23
I999779,C286501,Male,38,Clothing,3,900.24,Debit_Card,23/12/2022,EMAAR_SQUARE_MALL,90.02,2700.7200000000003
I189494,C519538,Male,31,Toys,2,71.68,Debit_Card,21/04/2022,MALL_OF_ISTANBUL,7.17,143.36
I281174,C312836,Female,25,Cosmetics,1,40.66,Cash,13/05/2022,CEVAHIR_AVM,4.07,40.66
I290202,C179273,Female,39,Shoes,5,3000.85,Credit_Card,7/7/2022,VIAPORT_OUTLET,300.09,15004.25
I142121,C104785,Female,49,Shoes,4,2400.68,Cash,6/3/2022,KANYON,240.07,9602.72
I176661,C298797,Female,58,Clothing,5,1500.4,Debit_Card,16/01/2022,KANYON,150.04,7502.0
I251907,C188628,Male,48,Clothing,5,1500.4,Cash,7/7/2022,VIAPORT_OUTLET,150.04,7502.0
I130978,C234780,Male,67,Food & Beverage,5,26.15,Cash,2/8/2021,KANYON,2.62,130.75
I483415,C211061,Male,33,Clothing,3,900.24,Debit_Card,26/03/2022,ISTINYE_PARK,90.02,2700.7200000000003
I519935,C312276,Female,51,Toys,5,179.2,Cash,15/06/2021,METROCITY,17.92,896.0
I276308,C301325,Male,61,Shoes,3,1800.51,Cash,5/4/2021,EMAAR_SQUARE_MALL,180.05,5401.53
I102403,C610622,Female,41,Clothing,3,900.24,Cash,27/11/2022,KANYON,90.02,2700.7200000000003
I544841,C628098,Male,28,Shoes,2,1200.34,Cash,7/1/2023,MALL_OF_ISTANBUL,120.03,2400.68
I101569,C148240,Male,21,Toys,2,71.68,Credit_Card,14/07/2022,EMAAR_SQUARE_MALL,7.17,143.36
I164051,C499452,Female,67,Food & Beverage,2,10.46,Debit_Card,27/11/2021,CEVAHIR_AVM,1.05,20.92
I200311,C845958,Female,57,Food & Beverage,5,26.15,Cash,13/01/2021,MALL_OF_ISTANBUL,2.62,130.75
I631763,C273535,Female,32,Technology,4,4200,Cash,1/3/2021,METROPOL_AVM,420.0,16800.0
I152138,C845526,Male,43,Clothing,3,900.24,Credit_Card,26/02/2022,MALL_OF_ISTANBUL,90.02,2700.7200000000003
I333079,C186334,Male,59,Clothing,5,1500.4,Debit_Card,4/3/2023,KANYON,150.04,7502.0
I229137,C591170,Male,46,Toys,1,35.84,Credit_Card,18/04/2022,ISTINYE_PARK,3.58,35.84
I189061,C228155,Male,66,Technology,3,3150,Credit_Card,4/12/2021,ISTINYE_PARK,315.0,9450.0
I159079,C296565,Female,31,Clothing,2,600.16,Cash,27/11/2021,MALL_OF_ISTANBUL,60.02,1200.32
I465081,C267098,Female,53,Cosmetics,3,121.98,Cash,26/10/2021,ISTINYE_PARK,12.2,365.94
I173126,C413156,Male,37,Toys,3,107.52,Credit_Card,29/09/2022,MALL_OF_ISTANBUL,10.75,322.56
I142805,C290867,Female,61,Clothing,3,900.24,Debit_Card,6/3/2021,KANYON,90.02,2700.7200000000003
I105089,C107395,Female,39,Food & Beverage,5,26.15,Credit_Card,5/9/2021,ISTINYE_PARK,2.62,130.75
I369161,C214909,Female,20,Clothing,1,300.08,Credit_Card,6/1/2023,KANYON,30.01,300.08
I235607,C295822,Male,25,Books,4,60.6,Cash,31/01/2021,KANYON,6.06,242.4
I250394,C151042,Female,26,Food & Beverage,3,15.69,Credit_Card,10/4/2022,METROCITY,1.57,47.07
I324506,C971646,Female,68,Cosmetics,5,203.3,Credit_Card,24/08/2021,METROCITY,20.33,1016.5
I394213,C262011,Female,48,Clothing,3,900.24,Debit_Card,29/10/2021,ISTINYE_PARK,90.02,2700.7200000000003
I250219,C448881,Male,18,Clothing,5,1500.4,Cash,31/12/2021,METROCITY,150.04,7502.0
I333465,C265159,Male,63,Toys,4,143.36,Cash,14/06/2022,CEVAHIR_AVM,14.34,573.44
I521166,C145693,Male,43,Souvenir,4,46.92,Cash,8/11/2021,KANYON,4.69,187.68
I115786,C869631,Female,61,Books,4,60.6,Debit_Card,8/11/2021,ISTINYE_PARK,6.06,242.4
I967513,C148765,Female,57,Clothing,4,1200.32,Cash,1/12/2022,METROPOL_AVM,120.03,4801.28
I771156,C331630,Female,65,Cosmetics,3,121.98,Credit_Card,7/12/2021,VIAPORT_OUTLET,12.2,365.94
I110832,C127648,Male,53,Shoes,4,2400.68,Cash,8/7/2022,ISTINYE_PARK,240.07,9602.72
I286581,C661651,Male,63,Cosmetics,1,40.66,Cash,17/10/2022,METROPOL_AVM,4.07,40.66
I238177,C111429,Female,62,Toys,4,143.36,Debit_Card,13/01/2022,KANYON,14.34,573.44
I289771,C154559,Female,44,Toys,5,179.2,Credit_Card,9/7/2022,METROCITY,17.92,896.0
I797477,C330898,Male,63,Cosmetics,4,162.64,Credit_Card,25/11/2022,METROCITY,16.26,650.56
I541108,C393581,Male,35,Clothing,3,900.24,Cash,13/12/2022,KANYON,90.02,2700.7200000000003
I184673,C185319,Female,31,Clothing,5,1500.4,Cash,26/08/2022,MALL_OF_ISTANBUL,150.04,7502.0
I259582,C130082,Female,63,Shoes,2,1200.34,Credit_Card,6/5/2021,MALL_OF_ISTANBUL,120.03,2400.68
I614643,C480709,Female,57,Shoes,4,2400.68,Credit_Card,7/12/2022,METROCITY,240.07,9602.72
I705101,C200630,Male,61,Food & Beverage,3,15.69,Credit_Card,6/5/2022,METROPOL_AVM,1.57,47.07
I226308,C335167,Male,62,Clothing,5,1500.4,Cash,16/10/2022,KANYON,150.04,7502.0
I312742,C155337,Female,36,Food & Beverage,5,26.15,Cash,5/9/2022,KANYON,2.62,130.75
I224438,C277198,Male,48,Clothing,2,600.16,Debit_Card,15/04/2022,MALL_OF_ISTANBUL,60.02,1200.32
I125452,C176201,Female,28,Clothing,2,600.16,Cash,30/11/2021,METROCITY,60.02,1200.32
I307210,C820240,Male,35,Shoes,3,1800.51,Credit_Card,14/08/2021,METROCITY,180.05,5401.53
I704423,C463345,Female,27,Souvenir,1,11.73,Debit_Card,24/01/2022,KANYON,1.17,11.73
I237689,C285967,Male,38,Toys,2,71.68,Cash,26/12/2022,MALL_OF_ISTANBUL,7.17,143.36
I140507,C662951,Female,38,Clothing,1,300.08,Credit_Card,16/02/2023,MALL_OF_ISTANBUL,30.01,300.08
I127135,C215770,Male,47,Toys,4,143.36,Debit_Card,8/6/2022,KANYON,14.34,573.44
I203831,C171014,Male,34,Clothing,4,1200.32,Cash,29/07/2022,MALL_OF_ISTANBUL,120.03,4801.28
I292762,C293503,Male,26,Clothing,3,900.24,Cash,18/07/2022,EMAAR_SQUARE_MALL,90.02,2700.7200000000003
I235641,C245669,Male,21,Cosmetics,4,162.64,Credit_Card,6/7/2021,MALL_OF_ISTANBUL,16.26,650.56
I438584,C251510,Female,63,Shoes,5,3000.85,Cash,17/07/2021,ISTINYE_PARK,300.09,15004.25
I507730,C332805,Male,69,Toys,3,107.52,Credit_Card,10/3/2022,VIAPORT_OUTLET,10.75,322.56
I152648,C462243,Male,24,Clothing,2,600.16,Cash,22/06/2022,MALL_OF_ISTANBUL,60.02,1200.32
I544223,C102753,Female,63,Clothing,4,1200.32,Cash,26/05/2022,MALL_OF_ISTANBUL,120.03,4801.28
I893688,C161286,Female,38,Food & Beverage,2,10.46,Cash,31/05/2022,ISTINYE_PARK,1.05,20.92
